Customer_Name,Email,Phone,Adresse,Age,Gender,Location,Customer_Segment,Category,Subcategory,Product,Price,Quantity,Weight,Date_Order,Tax_5_percent,Payement,Shipper,Shipping_Method,Shipping Costs,Inventory_id,StockLevel,Restock_Threshold,Last_Restock_Date,Warehouse_Name,Location_warehouse,Supplier_Name,Supplier_Phone,Location_Supplier,Quality_Score,rating_customer
Drew Lin,Drew_Lin@hotmail.com,592-401-3965x4062,629 Pamela Forest,9,Female,Saint Vincent and the Grenadines,Gold,Pharmaceuticals,Biopharmaceuticals,Monoclonal antibodies,10,-5,1.6279473211311735,2023-12-01,0.5,Credit Card,United Parcel Service,Air,32.56,15,4005,150,2023-07-12,China WH,China,"Luna, Wade and Lee",+1-495-506-4673x58378,China,3.58,5
Matthew Greene,Matthew_Greene@yopmail.com,691.455.7907,253 Escobar Summit Apt. 083,-24,Female,Heard Island and McDonald Islands,Gold,Energy,Biomass,Crop residues for energy generation,12,9,1.6062256776389012,2023-11-29,0.6,Credit Card,FedEx,Ground,29.63,13,3991,150,2023-07-12,China WH,China,Hernandez Group,(807)309-6416x4142,China,4.59,1
Gina Rodriguez,Gina_Rodriguez@maroc.ma,3055868574,968 Andrea Forges,-2,Female,Zambia,Gold,Energy,Biofuels,Biodiesel,5,-7,0.16438397714177289,2023-12-02,0.25,Ewallet,Hermés Internation,Ground,30.42,5,4007,150,2023-07-12,Turkey WH,Turkey,"Parker, Ryan and Nelson",789-942-3752,China,2.41,1
Nancy Jones,Nancy_Jones@outlook.fr,(601)550-7567x950,7928 Susan Extensions Apt. 710,84,Male,Niue,Gold,Agriculture,Biopesticides,Bacillus thuringiensis (Bt) products,44,2,1.4921887915893988,2023-11-29,2.2,Credit Card,FedEx,Air,13.03,16,3998,150,2023-07-12,China WH,China,Ross-Price,001-355-228-7049,Turkey,1.73,2
Jeremy Smith,Jeremy_Smith@yopmail.com,(947)542-2039x5119,57286 John Mews Apt. 782,-58,Male,Austria,Gold,Food and Beverages,Organic Food,Organic fruits and vegetables,36,1,1.9570659215612867,2023-11-27,1.8,Ewallet,Hermés Internation,Ground,42.03,14,3999,150,2023-07-12,China WH,China,"Williams, Green and Stewart",001-980-551-5177x991,Turkey,3.81,3
John Martin,John_Martin@maroc.ma,8708076666,52516 Rodriguez Lights,68,Female,Bosnia and Herzegovina,Bronze,Agriculture,Biopesticides,Bacillus thuringiensis (Bt) products,44,8,0.42152444682512535,2023-12-02,2.2,Credit Card,United Parcel Service,Sea,26.93,16,3992,150,2023-07-12,Japan WH,Japan,Riley Inc,+1-586-633-2567x43064,USA,1.43,1
Denise Jensen,Denise_Jensen@outlook.fr,+1-594-453-6643x0181,24345 Smith Street Apt. 767,36,Male,Marshall Islands,Bronze,Energy,Biofuels,Biodiesel,5,-4,0.45356277916330545,2023-11-27,0.25,Ewallet,FedEx,Air,43.4,5,4004,150,2023-07-12,China WH,China,Cruz-Ingram,(812)840-8563,Colombia,1.48,4
Allison Lee,Allison_Lee@hotmail.com,(461)463-9919,1164 Conner Mill,52,Male,Costa Rica,Bronze,Pharmaceuticals,Herbal Medicines,Turmeric supplements,29,-9,0.18231899861820877,2023-11-27,1.45,Ewallet,FedEx,Sea,26.41,2,4009,150,2023-07-12,Japan WH,Japan,Williams LLC,+1-994-651-7349x600,France,1.12,
Karen Rogers,Karen_Rogers@maroc.ma,338-608-7205x72332,03062 Joseph Route,2,Male,Brunei Darussalam,Gold,Materials and Chemicals,Biodegradable Packaging,Compostable bags,34,10,1.9225236810959558,2023-11-30,1.7,Credit Card,FedEx,Air,12.37,17,3990,150,2023-07-12,China WH,China,Mccarthy Inc,350-288-6180x88733,Turkey,2.76,4
Brian Craig,Brian_Craig@outlook.fr,001-695-520-9658,370 Amy Ports Suite 350,-49,Female,Micronesia,Silver,Agriculture,Biopesticides,Bacillus thuringiensis (Bt) products,44,-8,1.5224145550164179,2023-11-28,2.2,Credit Card,GeoPost,Sea,18.31,16,4008,150,2023-07-12,China WH,China,"Hall, Norris and Mayo",955.670.2197x245,China,2.84,4
Debra Garcia,Debra_Garcia@yopmail.com,818-798-1019x1838,2728 Thomas Corner Suite 055,74,Male,Greece,Gold,Agriculture,Biofertilizers,Mycorrhizal fungi products,75,-8,1.342127742630365,2023-12-02,3.75,Credit Card,GeoPost,Sea,33.1,9,4008,150,2023-07-12,Turkey WH,Turkey,Wilson-Thomas,673.981.0705,USA,2.48,2
Pamela Fernandez,Pamela_Fernandez@youcode.ma,001-762-954-2608x02001,344 Flynn Knolls Apt. 467,6,Female,Antarctica (the territory South of 60 deg S),Silver,Pharmaceuticals,Herbal Medicines,Echinacea extracts,46,2,1.1097233960967874,2023-11-29,2.3,Cash,GeoPost,Air,21.4,7,3998,150,2023-07-12,Turkey WH,Turkey,Moore-Barker,701-807-5250x44143,USA,2.09,3
Emily Escobar,Emily_Escobar@maroc.ma,001-852-692-3426,164 Brown Place,83,Female,Haiti,Silver,Energy,Biomass,Crop residues for energy generation,12,5,0.27287662438201565,2023-12-01,0.6,Credit Card,FedEx,Ground,11.71,13,3995,150,2023-07-12,Turkey WH,Turkey,Smith-Allen,781-975-9732x0812,China,1.79,5
Robin Robinson,Robin_Robinson@maroc.ma,577-563-6445x125,22169 Curry Lodge Apt. 122,-89,Female,Austria,Gold,Agriculture,Biopesticides,Bacillus thuringiensis (Bt) products,44,-1,0.4057745732255664,2023-11-28,2.2,Ewallet,Hermés Internation,Ground,47.28,16,4001,150,2023-07-12,Japan WH,Japan,Mccarthy-Vega,669-507-1022x42772,France,4.82,1
Deborah Stanton,Deborah_Stanton@youcode.ma,591.994.2091,0872 Gonzalez Viaduct Suite 571,7,Male,Timor-Leste,Gold,Materials and Chemicals,Bioplastics,PLA (Polylactic Acid),23,9,0.18771517983722158,2023-11-30,1.15,Credit Card,Hermés Internation,Ground,7.43,18,3991,150,2023-07-12,China WH,China,"Johnson, Lambert and Page",606.353.9391x260,France,4.7,4
Jennifer Hurst,Jennifer_Hurst@hotmail.com,001-615-469-1320x811,942 Lopez Estates,46,Male,Brazil,Bronze,Pharmaceuticals,Biopharmaceuticals,Insulin,11,6,0.21014040433885875,2023-11-28,0.55,Cash,DHL,Air,12.61,3,3994,150,2023-07-12,China WH,China,Fisher Inc,+1-274-888-2384x69928,USA,2.95,5
William Wood,William_Wood@gmail.com,738.568.1164x9236,785 James Court Apt. 434,-52,Male,Saint Helena,Gold,Food and Beverages,Plant-Based Meat Alternatives,Seitan,16,1,0.7575637224968123,2023-11-29,0.8,Credit Card,GeoPost,Air,20.71,8,3999,150,2023-07-12,China WH,China,Mckee-Lopez,433.514.1741x107,USA,4.53,1
Julia Walters,Julia_Walters@hotmail.com,558.814.4360x331,145 Armstrong Crescent Suite 822,32,Female,Russian Federation,Gold,Energy,Biofuels,Biodiesel,5,9,0.8213106844367254,2023-11-28,0.25,Cash,DHL,Sea,46.56,5,3991,150,2023-07-12,Turkey WH,Turkey,Mills-Mason,001-363-780-0168,Turkey,2.37,1
Dakota Black,Dakota_Black@outlook.fr,211.591.7881x018,325 French Vista,36,Male,Romania,Bronze,Materials and Chemicals,Biodegradable Packaging,Compostable bags,34,-10,1.8829152124297144,2023-11-29,1.7,Cash,FedEx,Sea,31.36,17,4010,150,2023-07-12,China WH,China,"Sullivan, Summers and Jones",6808402710,China,1.12,1
Tara Rogers,Tara_Rogers@maroc.ma,+1-938-270-6878x65321,123 Sarah River,-89,Male,Austria,Bronze,Pharmaceuticals,Herbal Medicines,Echinacea extracts,46,-10,1.421680420033498,2023-11-29,2.3,Ewallet,United Parcel Service,Air,11.32,7,4010,150,2023-07-12,Turkey WH,Turkey,Murray Ltd,(574)491-0598x27691,Turkey,2.62,1
Michele Lawrence,Michele_Lawrence@gmail.com,001-406-487-7866,947 Andrea Radial Apt. 767,-51,Male,Solomon Islands,Gold,Agriculture,Biofertilizers,Mycorrhizal fungi products,75,-4,0.729647564211848,2023-11-30,3.75,Ewallet,FedEx,Ground,28.92,9,4004,150,2023-07-12,China WH,China,"Benitez, Martin and Smith",(200)722-7580x9260,USA,1.73,2
Zachary Miller,Zachary_Miller@gmail.com,843.325.3654x1983,21351 Matthew Mountain Suite 753,78,Male,Turkey,Gold,Agriculture,Biofertilizers,Mycorrhizal fungi products,75,3,1.4081798924021267,2023-11-29,3.75,Ewallet,United Parcel Service,Sea,27.9,9,3997,150,2023-07-12,Japan WH,Japan,Hood-Thomas,001-851-279-8210x2510,Turkey,1.08,5
Brian Mckay,Brian_Mckay@maroc.ma,231.311.9642,00813 Thomas Station,-46,Female,Bhutan,Gold,Agriculture,Biopesticides,Neem oil-based insecticides,71,9,0.6135227103500397,2023-11-28,3.55,Ewallet,GeoPost,Air,46.94,6,3991,150,2023-07-12,Turkey WH,Turkey,"Ortiz, Guzman and Smith",001-998-329-0096x5038,China,3.47,2
Elizabeth Cook,Elizabeth_Cook@maroc.ma,2097756041,74751 Murray Turnpike Apt. 869,-2,Female,Japan,Gold,Materials and Chemicals,Biodegradable Packaging,Compostable bags,34,4,0.4161519402584778,2023-11-30,1.7,Cash,United Parcel Service,Sea,38.78,17,3996,150,2023-07-12,China WH,China,Chapman-Valentine,224-451-7504,Turkey,3.61,3
Bradley Jackson,Bradley_Jackson@gmail.com,+1-591-505-6344x1514,464 Shelby Creek Apt. 816,5,Female,Isle of Man,Gold,Energy,Biofuels,Biogas,11,10,1.5983631756512582,2023-11-27,0.55,Credit Card,DHL,Sea,9.11,19,3990,150,2023-07-12,Japan WH,Japan,"Brooks, Tran and Doyle",001-271-910-6508x3160,Colombia,4.26,2
Timothy Hammond,Timothy_Hammond@youcode.ma,555.711.2941,898 Bailey Stravenue,63,Male,Cape Verde,Bronze,Energy,Biofuels,Biogas,11,-8,1.0848850340921843,2023-11-29,0.55,Credit Card,FedEx,Air,5.09,19,4008,150,2023-07-12,Japan WH,Japan,Adams-Wells,728-257-0275x4273,Turkey,4.08,3
Jeffrey Neal,Jeffrey_Neal@maroc.ma,281.202.9075x362,8046 Romero Pike,59,Female,Malaysia,Bronze,Food and Beverages,Organic Food,Organic fruits and vegetables,36,-9,0.9673817749939686,2023-12-01,1.8,Credit Card,United Parcel Service,Air,21.4,14,4009,150,2023-07-12,Japan WH,Japan,Cowan and Sons,(469)419-0953,France,2.04,4
Cody West,Cody_West@outlook.fr,001-810-701-5520x669,15534 Webb Prairie Apt. 987,-58,Male,Bulgaria,Bronze,Food and Beverages,Plant-Based Meat Alternatives,Seitan,16,0,0.582442046426963,2023-12-01,0.8,Cash,GeoPost,Ground,34.76,8,4000,150,2023-07-12,Japan WH,Japan,"Travis, Love and Moore",244.529.6231x997,Colombia,1.13,4
Jasmin Jarvis,Jasmin_Jarvis@gmail.com,(559)393-3376x04880,114 Jessica Station,-35,Female,Sudan,Bronze,Pharmaceuticals,Herbal Medicines,Turmeric supplements,29,-10,1.9245077140051057,2023-12-01,1.45,Ewallet,Hermés Internation,Ground,47.83,2,4010,150,2023-07-12,Turkey WH,Turkey,Long Ltd,+1-866-900-6189x7265,Turkey,2.33,4
Melinda Jackson,Melinda_Jackson@outlook.fr,830-975-5642x008,926 Zuniga Spring,2,Male,Finland,Gold,Agriculture,Biopesticides,Neem oil-based insecticides,71,1,1.4552020697446786,2023-12-01,3.55,Credit Card,GeoPost,Ground,30.53,6,3999,150,2023-07-12,Japan WH,Japan,West Group,+1-533-528-7515x365,France,3.28,3
Christopher Young,Christopher_Young@hotmail.com,(776)686-4234,311 Shaffer Village Apt. 560,-90,Female,Namibia,Gold,Energy,Biofuels,Biodiesel,5,-8,0.7586972053588699,2023-12-02,0.25,Credit Card,United Parcel Service,Sea,47.09,5,4008,150,2023-07-12,Japan WH,Japan,Copeland Ltd,824.832.4517x538,Turkey,3.92,4
Elizabeth Carroll,Elizabeth_Carroll@gmail.com,(829)576-9550x3590,4842 Jessica Ports Apt. 903,-40,Male,Netherlands,Silver,Food and Beverages,Organic Food,Organic fruits and vegetables,36,10,1.7084086612631864,2023-11-29,1.8,Credit Card,GeoPost,Ground,33.57,14,3990,150,2023-07-12,China WH,China,Clayton Group,001-514-567-9464x804,Colombia,3.91,1
Jerry Levy,Jerry_Levy@outlook.fr,576.464.6749x26156,986 Andrea Ferry,13,Female,Cook Islands,Gold,Materials and Chemicals,Biodegradable Packaging,Biodegradable food containers,30,8,1.626537723431616,2023-11-28,1.5,Ewallet,DHL,Ground,36.42,20,3992,150,2023-07-12,China WH,China,Todd-Hall,625-551-3672x11571,France,3.85,2
James Vaughn,James_Vaughn@hotmail.com,361.513.3624x6876,156 John Gateway,29,Female,Mali,Silver,Materials and Chemicals,Biodegradable Packaging,Biodegradable food containers,30,-9,1.3583965982475834,2023-11-27,1.5,Credit Card,Hermés Internation,Air,34.54,20,4009,150,2023-07-12,China WH,China,Salazar LLC,(217)705-2903x90958,Colombia,2.69,5
Natalie Moss,Natalie_Moss@youcode.ma,9585014642,064 Heather Squares,49,Female,United Arab Emirates,Bronze,Pharmaceuticals,Biopharmaceuticals,Monoclonal antibodies,10,2,1.99252342928585,2023-12-02,0.5,Cash,DHL,Sea,23.26,15,3998,150,2023-07-12,China WH,China,Barton PLC,001-872-303-0091x96393,China,1.89,4
Denise Hines,Denise_Hines@gmail.com,+1-697-313-8307,4319 Kevin Alley,-1,Male,New Zealand,Silver,Energy,Biofuels,Biodiesel,5,-1,1.5497653723722242,2023-12-02,0.25,Credit Card,Hermés Internation,Sea,24.49,5,4001,150,2023-07-12,China WH,China,Sweeney Ltd,(758)849-5663,Turkey,2.96,2
Scott Myers,Scott_Myers@youcode.ma,001-646-321-1065x940,925 Davidson Forks Apt. 950,-88,Female,Palau,Silver,Materials and Chemicals,Bioplastics,PLA (Polylactic Acid),23,3,0.723170468870219,2023-12-02,1.15,Cash,United Parcel Service,Ground,39.6,18,3997,150,2023-07-12,Turkey WH,Turkey,Henderson-Cruz,001-391-278-8942x4026,France,4.57,
Christina Wright,Christina_Wright@hotmail.com,+1-678-885-5411,2114 Floyd Passage,-58,Male,Martinique,Bronze,Materials and Chemicals,Biodegradable Packaging,Biodegradable food containers,30,3,1.6575590884264457,2023-12-01,1.5,Cash,GeoPost,Air,29.85,20,3997,150,2023-07-12,China WH,China,"Blankenship, Hawkins and Krause",(374)963-6933,Turkey,4.56,4
Rebecca Castillo,Rebecca_Castillo@maroc.ma,+1-447-727-6308x295,33896 Deanna Meadow,46,Male,Mauritius,Gold,Energy,Biofuels,Biodiesel,5,10,0.6049098100999213,2023-12-02,0.25,Cash,GeoPost,Ground,30.17,5,3990,150,2023-07-12,China WH,China,Gutierrez and Sons,001-349-410-1879x980,Turkey,1.77,2
Charles Vargas,Charles_Vargas@gmail.com,964-900-9882,0431 Alicia Stream Suite 098,-5,Male,Ukraine,Silver,Food and Beverages,Plant-Based Meat Alternatives,Tofu,19,-10,1.6454033713538974,2023-12-01,0.95,Cash,United Parcel Service,Air,43.16,21,4010,150,2023-07-12,China WH,China,Santiago LLC,(391)960-3427x0386,France,4.68,
Robin Shields,Robin_Shields@hotmail.com,789.648.6333,526 Tina Well,-13,Male,Syrian Arab Republic,Bronze,Pharmaceuticals,Herbal Medicines,Echinacea extracts,46,-6,0.3616215965482077,2023-11-30,2.3,Ewallet,DHL,Ground,30.96,7,4006,150,2023-07-12,Japan WH,Japan,Marshall LLC,706.408.8570,USA,1.26,2
Richard Miller,Richard_Miller@maroc.ma,(677)966-4473,57358 Dwayne Island Apt. 194,-75,Female,Palau,Bronze,Pharmaceuticals,Biopharmaceuticals,Monoclonal antibodies,10,2,0.24274489195318383,2023-12-02,0.5,Credit Card,DHL,Sea,23.31,15,3998,150,2023-07-12,China WH,China,"Adkins, Clark and Robertson",582.797.5843x786,Turkey,2.87,2
